INFO:root:Dataset: sln
INFO:mainlogger.util:The dimension after PCA is:  200
INFO:root:There are 2742 pairred samples with 200 RNAs (after PCA) and 110 proteins for training.
INFO:root:There are 12342 unlabeled mRNAs amples and 12342 unlabeled protein samples for training.
INFO:root:There are 3048 pairred samples for testing.
INFO:root:

INFO:mainlogger:Begin training!
INFO:mainlogger:Epoch 45: Train Loss: 1.0063, Train PCC: 0.2799, Val Loss: 1.2742,Val PCC: 0.1052, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 46: Train Loss: 0.9948, Train PCC: 0.2868, Val Loss: 1.2796,Val PCC: 0.1054, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 47: Train Loss: 0.9896, Train PCC: 0.2889, Val Loss: 1.3392,Val PCC: 0.1057, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 48: Train Loss: 1.0025, Train PCC: 0.2828, Val Loss: 1.2741,Val PCC: 0.1078, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 49: Train Loss: 0.9824, Train PCC: 0.2919, Val Loss: 1.2917,Val PCC: 0.1070, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 50: Train Loss: 0.9732, Train PCC: 0.2952, Val Loss: 1.2978,Val PCC: 0.1064, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 51: Train Loss: 0.9672, Train PCC: 0.3000, Val Loss: 1.2824,Val PCC: 0.1073, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 52: Train Loss: 0.9667, Train PCC: 0.3009, Val Loss: 1.2870,Val PCC: 0.1071, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 53: Train Loss: 0.9655, Train PCC: 0.3026, Val Loss: 1.2788,Val PCC: 0.1084, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 54: Train Loss: 0.9559, Train PCC: 0.3014, Val Loss: 1.2982,Val PCC: 0.1070, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 55: Train Loss: 0.9575, Train PCC: 0.3047, Val Loss: 1.2786,Val PCC: 0.1088, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 56: Train Loss: 0.9545, Train PCC: 0.3073, Val Loss: 1.2779,Val PCC: 0.1100, Best epoch: 30, Best val loss: 1.2423
INFO:mainlogger:Epoch 57: Train Loss: 0.9392, Train PCC: 0.3115, Val Loss: 1.2879,Val PCC: 0.1098, Best epoch: 30, Best val loss: 1.2423
